Date,Open,High,Low,Close,Volume,Adj Close
2016-02-04,4.66,4.72,4.64,4.65,545500,4.333233
2016-02-05,4.63,4.66,4.54,4.55,430300,4.240044999999999
2016-02-08,4.5,4.52,4.35,4.4,526700,4.100263
2016-02-09,4.35,4.41,4.32,4.34,530900,4.044351
2016-02-10,4.38,4.42,4.36,4.37,454900,4.072307
2016-02-11,4.29,4.33,4.26,4.31,486800,4.016394
2016-02-12,4.33,4.4,4.33,4.37,562500,4.072307
2016-02-16,4.43,4.48,4.41,4.44,838800,4.137539
2016-02-17,4.52,4.59,4.52,4.56,601700,4.249364
2016-02-18,4.61,4.61,4.55,4.55,430200,4.240044999999999
2016-02-19,4.5,4.53,4.48,4.51,1512800,4.20277
2016-02-22,4.6,4.6,4.54,4.55,1297100,4.240044999999999
2016-02-23,4.55,4.57,4.47,4.51,1322300,4.20277
2016-02-24,4.48,4.55,4.45,4.54,1070900,4.230726
2016-02-25,4.55,4.61,4.54,4.59,795600,4.27732
2016-02-26,4.61,4.65,4.58,4.61,520500,4.295958000000001
2016-02-29,4.57,4.66,4.57,4.58,698100,4.268001
2016-03-01,4.62,4.72,4.61,4.71,703400,4.389146
2016-03-02,4.71,4.77,4.71,4.77,724000,4.445058
2016-03-03,4.78,4.85,4.76,4.85,1071900,4.519608
2016-03-04,4.83,4.86,4.8,4.81,545900,4.482333000000001
2016-03-07,4.8,4.85,4.79,4.84,558000,4.51029
2016-03-08,4.82,4.82,4.77,4.79,425300,4.463696
2016-03-09,4.81,4.84,4.78,4.79,388500,4.463696
2016-03-10,4.84,4.84,4.75,4.8,258700,4.473015
2016-03-11,4.82,4.87,4.82,4.87,575300,4.538246
2016-03-14,4.87,4.89,4.85,4.89,365800,4.556883
2016-03-15,4.84,4.87,4.82,4.85,306500,4.519608
2016-03-16,4.83,4.88,4.82,4.87,343000,4.538246
2016-03-17,4.89,4.94,4.85,4.94,395000,4.603478
2016-03-18,4.95,4.96,4.91,4.94,392800,4.603478
2016-03-21,4.94,4.96,4.91,4.92,280900,4.58484
